job n,threads,country,random,seed,time
1 , 25 , 5 , false , 1 , 15
1 , 26 , 1 , false , 1 , 15
1 , 26 , 2 , false , 1 , 17
1 , 26 , 3 , false , 1 , 16
1 , 26 , 4 , false , 1 , 16
1 , 26 , 5 , false , 1 , 21
1 , 27 , 1 , false , 1 , 18
1 , 27 , 2 , false , 1 , 20
1 , 27 , 3 , false , 1 , 16
1 , 27 , 4 , false , 1 , 20
1 , 27 , 5 , false , 1 , 18
1 , 28 , 1 , false , 1 , 16
1 , 28 , 2 , false , 1 , 15
1 , 28 , 3 , false , 1 , 17
1 , 28 , 4 , false , 1 , 16
1 , 28 , 5 , false , 1 , 22
1 , 29 , 1 , false , 1 , 21
1 , 29 , 2 , false , 1 , 19
1 , 29 , 3 , false , 1 , 18
1 , 29 , 4 , false , 1 , 15
1 , 29 , 5 , false , 1 , 16
1 , 30 , 1 , false , 1 , 17
1 , 30 , 2 , false , 1 , 19
1 , 30 , 3 , false , 1 , 19
1 , 30 , 4 , false , 1 , 19
1 , 30 , 5 , false , 1 , 19
1 , 31 , 1 , false , 1 , 16
1 , 31 , 2 , false , 1 , 16
1 , 31 , 3 , false , 1 , 17
1 , 31 , 4 , false , 1 , 15
1 , 31 , 5 , false , 1 , 20
1 , 32 , 1 , false , 1 , 20
1 , 32 , 2 , false , 1 , 22
1 , 32 , 3 , false , 1 , 19
1 , 32 , 4 , false , 1 , 15
1 , 32 , 5 , false , 1 , 17
1 , 33 , 1 , false , 1 , 18
1 , 33 , 2 , false , 1 , 22
1 , 33 , 3 , false , 1 , 20
1 , 33 , 4 , false , 1 , 15
1 , 33 , 5 , false , 1 , 17
1 , 34 , 1 , false , 1 , 16
1 , 34 , 2 , false , 1 , 19
1 , 34 , 3 , false , 1 , 19
1 , 34 , 4 , false , 1 , 17
1 , 34 , 5 , false , 1 , 15
1 , 35 , 1 , false , 1 , 17
1 , 35 , 2 , false , 1 , 15
1 , 35 , 3 , false , 1 , 16
1 , 35 , 4 , false , 1 , 22
1 , 35 , 5 , false , 1 , 23
1 , 36 , 1 , false , 1 , 19
1 , 36 , 2 , false , 1 , 15
1 , 36 , 3 , false , 1 , 19
1 , 36 , 4 , false , 1 , 19
1 , 36 , 5 , false , 1 , 20
1 , 37 , 1 , false , 1 , 19
1 , 37 , 2 , false , 1 , 19
1 , 37 , 3 , false , 1 , 18
1 , 37 , 4 , false , 1 , 18
1 , 37 , 5 , false , 1 , 20
1 , 38 , 1 , false , 1 , 19
1 , 38 , 2 , false , 1 , 19
1 , 38 , 3 , false , 1 , 19
1 , 38 , 4 , false , 1 , 18
1 , 38 , 5 , false , 1 , 17
1 , 39 , 1 , false , 1 , 15
1 , 39 , 2 , false , 1 , 17
1 , 39 , 3 , false , 1 , 16
1 , 39 , 4 , false , 1 , 16
1 , 39 , 5 , false , 1 , 23
1 , 40 , 1 , false , 1 , 21
1 , 40 , 2 , false , 1 , 20
1 , 40 , 3 , false , 1 , 15
1 , 40 , 4 , false , 1 , 20
1 , 40 , 5 , false , 1 , 21
1 , 41 , 1 , false , 1 , 16
1 , 41 , 2 , false , 1 , 20
1 , 41 , 3 , false , 1 , 16
1 , 41 , 4 , false , 1 , 22
1 , 41 , 5 , false , 1 , 18
1 , 42 , 1 , false , 1 , 20
1 , 42 , 2 , false , 1 , 20
1 , 42 , 3 , false , 1 , 18
1 , 42 , 4 , false , 1 , 19
1 , 42 , 5 , false , 1 , 16
1 , 43 , 1 , false , 1 , 15
1 , 43 , 2 , false , 1 , 18
1 , 43 , 3 , false , 1 , 15
1 , 43 , 4 , false , 1 , 16
1 , 43 , 5 , false , 1 , 20
1 , 44 , 1 , false , 1 , 22
1 , 44 , 2 , false , 1 , 19
1 , 44 , 3 , false , 1 , 15
1 , 44 , 4 , false , 1 , 17
1 , 44 , 5 , false , 1 , 21
1 , 45 , 1 , false , 1 , 19
1 , 45 , 2 , false , 1 , 21
1 , 45 , 3 , false , 1 , 16
1 , 45 , 4 , false , 1 , 17
1 , 45 , 5 , false , 1 , 19
1 , 46 , 1 , false , 1 , 17
1 , 46 , 2 , false , 1 , 19
1 , 46 , 3 , false , 1 , 18
1 , 46 , 4 , false , 1 , 20
1 , 46 , 5 , false , 1 , 19
1 , 47 , 1 , false , 1 , 19
1 , 47 , 2 , false , 1 , 18
1 , 47 , 3 , false , 1 , 17
1 , 47 , 4 , false , 1 , 15
1 , 47 , 5 , false , 1 , 17
1 , 48 , 1 , false , 1 , 15
1 , 48 , 2 , false , 1 , 17
1 , 48 , 3 , false , 1 , 21
1 , 48 , 4 , false , 1 , 20
1 , 48 , 5 , false , 1 , 18
1 , 49 , 1 , false , 1 , 15
1 , 49 , 2 , false , 1 , 18
1 , 49 , 3 , false , 1 , 16
1 , 49 , 4 , false , 1 , 19
1 , 49 , 5 , false , 1 , 19
1 , 50 , 1 , false , 1 , 19
1 , 50 , 2 , false , 1 , 20
1 , 50 , 3 , false , 1 , 15
1 , 50 , 4 , false , 1 , 21
1 , 50 , 5 , false , 1 , 21
1 , 51 , 1 , false , 1 , 16
1 , 51 , 2 , false , 1 , 17
1 , 51 , 3 , false , 1 , 20
1 , 51 , 4 , false , 1 , 19
1 , 51 , 5 , false , 1 , 22
1 , 52 , 1 , false , 1 , 19
1 , 52 , 2 , false , 1 , 18
1 , 52 , 3 , false , 1 , 21
1 , 52 , 4 , false , 1 , 17
1 , 52 , 5 , false , 1 , 17
1 , 53 , 1 , false , 1 , 16
1 , 53 , 2 , false , 1 , 18
1 , 53 , 3 , false , 1 , 15
1 , 53 , 4 , false , 1 , 17
1 , 53 , 5 , false , 1 , 21
1 , 54 , 1 , false , 1 , 21
1 , 54 , 2 , false , 1 , 21
1 , 54 , 3 , false , 1 , 16
1 , 54 , 4 , false , 1 , 20
1 , 54 , 5 , false , 1 , 21
1 , 55 , 1 , false , 1 , 15
1 , 55 , 2 , false , 1 , 19
1 , 55 , 3 , false , 1 , 20
1 , 55 , 4 , false , 1 , 15
1 , 55 , 5 , false , 1 , 19
1 , 56 , 1 , false , 1 , 19
1 , 56 , 2 , false , 1 , 15
1 , 56 , 3 , false , 1 , 15
1 , 56 , 4 , false , 1 , 20
1 , 56 , 5 , false , 1 , 18
1 , 57 , 1 , false , 1 , 16
